سوال,گزینه یک,گزینه دو,گزینه سه,گزینه چهار,پاسخ درست,عکس
این تصویر مربوط به کدام غذاست؟,ترشی قرمه,نان زنجبیلی تبریز,ساج کباب,برساق یا بژی,4,..\processed_images\1656_1_برساق_یا_بژی_مرحله_1.jpg
این تصویر مربوط به کدام غذاست؟,خوراک مرغ ناردونی,چکدرمه,قیمه اردبیل,کوکو اشپل ماهی بدون برگ سیر,4,..\processed_images\51_1_کوکو_اشپل_ماهی_بدون_برگ_سیر_نهایی_تصویر.jpg
این تصویر مربوط به کدام غذاست؟,فالوده شیرازی,کوکوی هفت لشکر,خورشت دروغگو (گیلانی),نان کپو (فارس) نان پیته (خوزستان),4,..\processed_images\354_1_نان_کپو_(فارس)_نان_پیته_(خوزستان)_main.jpg
این تصویر مربوط به کدام غذاست؟,خورش نعنا جعفری,بیج بیج مازندران,حلوا اوماج یا حلوای دستپروش,گبولی گوشت,3,..\processed_images\925_3_حلوا_اوماج_یا_حلوای_دستپروش_2_مرحله.jpg
این تصویر مربوط به کدام غذاست؟,خورش ترش واش (ابکی),خورشت گوجه سبز,رشته‌پلو,کلوچه فومن (گیلان),2,..\processed_images\999_1_خورشت_گوجه_سبز_تصویر_نهایی.jpg
این تصویر مربوط به کدام غذاست؟,شامی رودباری,سیر قلیه,باقالا فسنجان,شامی کباب کرمانشاهی با سالاد شیرازی 😍😍😋😋😋😋😝,4,..\processed_images\433_1_شامی_کباب_کرمانشاهی_با_سالاد_شیرازی_😍😍😋😋😋😋😝_main.jpg
این تصویر مربوط به کدام غذاست؟,انار پیاز,کشک و بادمجان دامغانی,قیسی پلو اذری,قیمه پلوی اردبیل,4,..\processed_images\1479_2_قیمه_پلوی_اردبیل_مرحله_2.jpg
این تصویر مربوط به کدام غذاست؟,کلانه,خورشت کدو,کباب ترش کردی,کیی ترشک یه غذای مورد علاقه مازنی‌ها,1,..\processed_images\2128_1_کلانه_final_image.jpg
این تصویر مربوط به کدام غذاست؟,انار پلو شیرازی,زیبون,خورشت ترشی گورما,اش غلغل,3,..\processed_images\1513_1_خورشت_ترشی_گورما_مرحله_1.jpg
این تصویر مربوط به کدام غذاست؟,ترش تره,کشک بادمجان,ابگوشت باغی با گوشت گوسفند و عناب,کباب سرداشی همدان,4,..\processed_images\471_1_کباب_سرداشی_همدان_main.jpg
این تصویر مربوط به کدام غذاست؟,ساج کباب,شربت بهار نارنج,مانی پلو غذای خوشمزه استان سمنان,اش مصطفی (اراکی),1,..\processed_images\1981_1_ساج_کباب_final_image.jpg
این تصویر مربوط به کدام غذاست؟,خورش ترش کباب,ماهی صبور خوزستان,نان گرده,شکر پلو,1,..\processed_images\2049_1_خورش_ترش_کباب_final_image.jpg
این تصویر مربوط به کدام غذاست؟,ابگوشت بادمجان همدان,اش کلم قمری تبریزی,اش ماست تبریز,کشکو دامغانی,2,..\processed_images\1749_2_آش_کلم_قمری_تبریزی_مرحله_2.jpg
این تصویر مربوط به کدام غذاست؟,کماج بابل,کشمش پلو,ابگوشت کبوتر,کاچی (قیماق کرمانشاهی) با ارد گندم,4,..\processed_images\422_1_کاچی_(قیماق_کرمانشاهی)_با_آرد_گندم_main.jpg
این تصویر مربوط به کدام غذاست؟,انار اویج خورش,ابگوشت یخنی نخود,شیرینی بژی,خورش فسنجان با گوشت اردک,4,..\processed_images\939_1_خورش_فسنجان_با_گوشت_اردک_تصویر_نهایی.jpg
این تصویر مربوط به کدام غذاست؟,بورانی سنندج solmaz,اش ترخینه,قرابیه گردویی,اش دوغ,1,..\processed_images\1599_1_بورانی_سنندج_solmaz_مرحله_1.jpg
این تصویر مربوط به کدام غذاست؟,نان روغنی تبریزی نوین,شامی کباب کردی,شوربای تره تبریز,چوواش تره,2,..\processed_images\1616_1_شامی_کباب_کردی_مرحله_1.jpg
این تصویر مربوط به کدام غذاست؟,کباب کوبیده سنتی قمی,شیله عدس‌اش تبریز,پیازو,کوفته تبریزی کتویی,3,..\processed_images\294_1_پیازو_تصویر_نهایی.jpg
این تصویر مربوط به کدام غذاست؟,کشمش پلو,اماده کردن و فریز کردن کوفته تبریزی,اش قلیه,فرنی ارد برنج (گیلانی),2,..\processed_images\1810_2_آماده_کردن_و_فریز_کردن_کوفته_تبریزی_مرحله_2.jpg
این تصویر مربوط به کدام غذاست؟,ماهی شور,اش گوشت بابلی,شیرینی نان چای قزوین,شلگه پلوی کوردی,2,..\processed_images\843_4_آش_گوشت_بابلی_3_مرحله.jpg
